w  L  F   dF   ddF gamma2
1.700000000000000122e-01  3.660000000000000142e+00  1.925999999999999934e-01  9.539999999999999591e-01  -2.131800000000000139e+00  -1.000000000000000000e+00
1.799999999999999933e-01  3.640000000000000124e+00  2.020000000000000129e-01  9.326999999999999735e-01  -2.133799999999999919e+00  -1.000000000000000000e+00
1.900000000000000022e-01  3.620000000000000107e+00  2.111999999999999988e-01  9.112999999999999989e-01  -2.135099999999999998e+00  -1.000000000000000000e+00
2.000000000000000111e-01  3.600000000000000089e+00  2.202000000000000068e-01  8.900000000000000133e-01  -2.135800000000000143e+00  -1.000000000000000000e+00
2.099999999999999922e-01  3.580000000000000071e+00  2.290000000000000091e-01  8.686000000000000387e-01  -2.135800000000000143e+00  -1.000000000000000000e+00
2.200000000000000011e-01  3.560000000000000053e+00  2.376000000000000056e-01  8.473000000000000531e-01  -2.135200000000000209e+00  -1.000000000000000000e+00
2.300000000000000100e-01  3.540000000000000036e+00  2.459999999999999964e-01  8.258999999999999675e-01  -2.133900000000000130e+00  -1.000000000000000000e+00
2.399999999999999911e-01  3.520000000000000018e+00  2.540999999999999925e-01  8.045999999999999819e-01  -2.132099999999999884e+00  -1.000000000000000000e+00
2.500000000000000000e-01  3.500000000000000000e+00  2.620999999999999996e-01  7.832999999999999963e-01  -2.129599999999999937e+00  -1.000000000000000000e+00
2.600000000000000089e-01  3.479999999999999982e+00  2.697999999999999843e-01  7.620000000000000107e-01  -2.126399999999999846e+00  -1.000000000000000000e+00
2.700000000000000178e-01  3.459999999999999964e+00  2.772999999999999909e-01  7.407000000000000250e-01  -2.122700000000000031e+00  -1.000000000000000000e+00
2.800000000000000266e-01  3.439999999999999947e+00  2.846000000000000196e-01  7.195000000000000284e-01  -2.118300000000000072e+00  -1.000000000000000000e+00
2.899999999999999800e-01  3.419999999999999929e+00  2.917000000000000148e-01  6.984000000000000208e-01  -2.113399999999999945e+00  -1.000000000000000000e+00
2.999999999999999889e-01  3.399999999999999911e+00  2.985999999999999766e-01  6.773000000000000131e-01  -2.107800000000000118e+00  -1.000000000000000000e+00
3.099999999999999978e-01  3.379999999999999893e+00  3.052000000000000268e-01  6.562000000000000055e-01  -2.101599999999999913e+00  -1.000000000000000000e+00
3.200000000000000067e-01  3.359999999999999876e+00  3.116999999999999771e-01  6.351999999999999869e-01  -2.094899999999999984e+00  -1.000000000000000000e+00
3.300000000000000155e-01  3.339999999999999858e+00  3.179000000000000159e-01  6.142999999999999572e-01  -2.087499999999999911e+00  -1.000000000000000000e+00
3.400000000000000244e-01  3.319999999999999840e+00  3.240000000000000102e-01  5.935000000000000275e-01  -2.079600000000000115e+00  -1.000000000000000000e+00
