S V(S) theta
1.071820184942165133e+00 3.818868479400585603e-01 1.111111111111111049e-01
1.075499929284826406e+00 3.797373384150184994e-01 1.111111111111111049e-01
1.079171515997913389e+00 3.776055076215439343e-01 1.111111111111111049e-01
1.082834947325606034e+00 3.754911575082459652e-01 1.111111111111111049e-01
1.086490225512083407e+00 3.733940935026907049e-01 1.111111111111111049e-01
1.090137352801525683e+00 3.713141244380313011e-01 1.111111111111111049e-01
1.093776331438111704e+00 3.692510624815025788e-01 1.111111111111111049e-01
1.097407163666021646e+00 3.672047230647204619e-01 1.111111111111111049e-01
1.101029851729435238e+00 3.651749248157377670e-01 1.111111111111111049e-01
1.104644398266629191e+00 3.631614891527051303e-01 1.111111111111111049e-01
1.108250807844542773e+00 3.611642386281278538e-01 1.111111111111111049e-01
1.111849085604435405e+00 3.591829981570021646e-01 1.111111111111111049e-01
1.115439236687188362e+00 3.572175956522464779e-01 1.111111111111111049e-01
1.119021266233683365e+00 3.552678619640886049e-01 1.111111111111111049e-01
1.122595179384802133e+00 3.533336308201346365e-01 1.111111111111111049e-01
1.126160981281425943e+00 3.514147387669089850e-01 1.111111111111111049e-01
1.129718677064436294e+00 3.495110251128242251e-01 1.111111111111111049e-01
1.133268271874714905e+00 3.476223318725399358e-01 1.111111111111111049e-01
1.136809770853143498e+00 3.457485037126720173e-01 1.111111111111111049e-01
1.140343179508980676e+00 3.438893875661795385e-01 1.111111111111111049e-01
1.143868505144890912e+00 3.420448310362022015e-01 1.111111111111111049e-01
1.147385755590891732e+00 3.402146836014696141e-01 1.111111111111111049e-01
1.150894938676482848e+00 3.383987972387204057e-01 1.111111111111111049e-01
1.154396062231164199e+00 3.365970263740621915e-01 1.111111111111111049e-01
1.157889134084435945e+00 3.348092278347584716e-01 1.111111111111111049e-01
1.161374162065797355e+00 3.330352608021580063e-01 1.111111111111111049e-01
1.164851154004748146e+00 3.312749867657342473e-01 1.111111111111111049e-01
1.168320117730788699e+00 3.295282694782070698e-01 1.111111111111111049e-01
1.171781061073418284e+00 3.277949749117142764e-01 1.111111111111111049e-01
1.175233992203437161e+00 3.260749708923188495e-01 1.111111111111111049e-01
1.178678920942913821e+00 3.243681255682481779e-01 1.111111111111111049e-01
1.182115857592130670e+00 3.226743085825096724e-01 1.111111111111111049e-01
1.185544812450705310e+00 3.209933916769164841e-01 1.111111111111111049e-01
1.188965795818256677e+00 3.193252486526572675e-01 1.111111111111111049e-01
1.192378817994401485e+00 3.176697553311350619e-01 1.111111111111111049e-01
1.195783889278758672e+00 3.160267895157004570e-01 1.111111111111111049e-01
1.199181019970945838e+00 3.143962309542593370e-01 1.111111111111111049e-01
1.202570220370580811e+00 3.127779613027296679e-01 1.111111111111111049e-01
1.205951500777281638e+00 3.111718640893254562e-01 1.111111111111111049e-01
1.209324871803969748e+00 3.095778243690125442e-01 1.111111111111111049e-01
1.212690345567839945e+00 3.079957272607943275e-01 1.111111111111111049e-01
1.216047934613621040e+00 3.064254590792231392e-01 1.111111111111111049e-01
1.219397651485224943e+00 3.048669079156769435e-01 1.111111111111111049e-01
1.222739508726564006e+00 3.033199636060910920e-01 1.111111111111111049e-01
1.226073518881549695e+00 3.017845176988664946e-01 1.111111111111111049e-01
1.229399694494095030e+00 3.002604634234873893e-01 1.111111111111111049e-01
1.232718048108111697e+00 2.987476956598328903e-01 1.111111111111111049e-01
1.236028592267511828e+00 2.972461109081619424e-01 1.111111111111111049e-01
1.239331339516207553e+00 2.957556072597558594e-01 1.111111111111111049e-01
1.242626302682911632e+00 2.942760840713757875e-01 1.111111111111111049e-01
1.245913495950718541e+00 2.928074405758120391e-01 1.111111111111111049e-01
1.249192933878650047e+00 2.913495769655049528e-01 1.111111111111111049e-01
1.252464631024757580e+00 2.899023949475614259e-01 1.111111111111111049e-01
1.255728601947092349e+00 2.884657977171088405e-01 1.111111111111111049e-01
1.258984861203706451e+00 2.870396899307842142e-01 1.111111111111111049e-01
1.262233423352651318e+00 2.856239776807923958e-01 1.111111111111111049e-01
1.265474302951978158e+00 2.842185684695176517e-01 1.111111111111111049e-01
1.268707514559738847e+00 2.828233711846753762e-01 1.111111111111111049e-01
1.271933072733985259e+00 2.814382960749909901e-01 1.111111111111111049e-01
1.275150992288947682e+00 2.800632544447878569e-01 1.111111111111111049e-01
1.278361289242313292e+00 2.786981573414356039e-01 1.111111111111111049e-01
1.281563979935762987e+00 2.773429165856392542e-01 1.111111111111111049e-01
1.284759080709854562e+00 2.759974452974005565e-01 1.111111111111111049e-01
1.287946607905145591e+00 2.746616578738259595e-01 1.111111111111111049e-01
1.291126577862193425e+00 2.733354699670660359e-01 1.111111111111111049e-01
1.294299006921556083e+00 2.720187984627138178e-01 1.111111111111111049e-01
1.297463911423790250e+00 2.707115614586504959e-01 1.111111111111111049e-01
1.300621307709453944e+00 2.694136782443253275e-01 1.111111111111111049e-01
1.303771212119104295e+00 2.681250692804632574e-01 1.111111111111111049e-01
1.306913641569620310e+00 2.668456553768869810e-01 1.111111111111111049e-01
1.310048613976577903e+00 2.655753570825669097e-01 1.111111111111111049e-01
1.313176146706169334e+00 2.643140968333971275e-01 1.111111111111111049e-01
1.316296257257857372e+00 2.630617979784858895e-01 1.111111111111111049e-01
1.319408963300319870e+00 2.618183847105073903e-01 1.111111111111111049e-01
1.322514902495157463e+00 2.607064350502933392e-01 1.111111111111111049e-01
1.325615171029060901e+00 2.596232447512314412e-01 1.111111111111111049e-01
1.328709792767593711e+00 2.585465109535353134e-01 1.111111111111111049e-01
1.331798771427390893e+00 2.574761862097878495e-01 1.111111111111111049e-01
1.334882110725088555e+00 2.564122236866726579e-01 1.111111111111111049e-01
1.337959814185390561e+00 2.553545773223393489e-01 1.111111111111111049e-01
1.341031885777831167e+00 2.543032012904246630e-01 1.111111111111111049e-01
1.344098330252314177e+00 2.532580497010736842e-01 1.111111111111111049e-01
1.347159152369392876e+00 2.522190772444523610e-01 1.111111111111111049e-01
1.350214356889621214e+00 2.511862391910361092e-01 1.111111111111111049e-01
1.353263948573552478e+00 2.501594913829726652e-01 1.111111111111111049e-01
