w  L  F   dF   ddF gamma2
2.099999999999999922e-01  9.580000000000000071e+00  3.348999999999999755e-01  1.505400000000000071e+00  -8.580999999999999739e-01  -8.610999999999999766e-01
2.200000000000000011e-01  9.560000000000000497e+00  3.498999999999999888e-01  1.496799999999999908e+00  -8.590999999999999748e-01  -8.610999999999999766e-01
2.300000000000000100e-01  9.539999999999999147e+00  3.648000000000000131e-01  1.488199999999999967e+00  -8.599999999999999867e-01  -8.610999999999999766e-01
2.399999999999999911e-01  9.519999999999999574e+00  3.796999999999999820e-01  1.479600000000000026e+00  -8.608999999999999986e-01  -8.610999999999999766e-01
2.500000000000000000e-01  9.500000000000000000e+00  3.943999999999999728e-01  1.471000000000000085e+00  -8.637000000000000233e-01  -8.610999999999999766e-01
2.600000000000000089e-01  9.480000000000000426e+00  4.091000000000000192e-01  1.462399999999999922e+00  -8.670999999999999819e-01  -8.610999999999999766e-01
2.700000000000000178e-01  9.460000000000000853e+00  4.237000000000000210e-01  1.453699999999999992e+00  -8.703999999999999515e-01  -8.610999999999999766e-01
2.800000000000000266e-01  9.439999999999999503e+00  4.381999999999999784e-01  1.444900000000000073e+00  -8.737000000000000322e-01  -8.610999999999999766e-01
2.899999999999999800e-01  9.419999999999999929e+00  4.526000000000000023e-01  1.436199999999999921e+00  -8.768000000000000238e-01  -8.610999999999999766e-01
2.999999999999999889e-01  9.400000000000000355e+00  4.668999999999999817e-01  1.427400000000000002e+00  -8.799000000000000155e-01  -8.610999999999999766e-01
3.099999999999999978e-01  9.380000000000000782e+00  4.811000000000000276e-01  1.418600000000000083e+00  -8.828000000000000291e-01  -8.610999999999999766e-01
3.200000000000000067e-01  9.359999999999999432e+00  4.953000000000000180e-01  1.409799999999999942e+00  -8.857000000000000428e-01  -8.610999999999999766e-01
3.300000000000000155e-01  9.339999999999999858e+00  5.092999999999999750e-01  1.400900000000000034e+00  -8.883999999999999675e-01  -8.610999999999999766e-01
3.400000000000000244e-01  9.320000000000000284e+00  5.232999999999999874e-01  1.391999999999999904e+00  -8.911000000000000032e-01  -8.610999999999999766e-01
3.499999999999999778e-01  9.300000000000000711e+00  5.372000000000000108e-01  1.383099999999999996e+00  -8.937000000000000499e-01  -8.610999999999999766e-01
3.599999999999999867e-01  9.279999999999999361e+00  5.508999999999999453e-01  1.374100000000000099e+00  -8.961000000000000076e-01  -8.610999999999999766e-01
3.699999999999999956e-01  9.259999999999999787e+00  5.645999999999999908e-01  1.365099999999999980e+00  -8.984999999999999654e-01  -8.610999999999999766e-01
3.800000000000000044e-01  9.240000000000000213e+00  5.782000000000000473e-01  1.356100000000000083e+00  -9.008000000000000451e-01  -8.610999999999999766e-01
3.900000000000000133e-01  9.220000000000000639e+00  5.917999999999999927e-01  1.347099999999999964e+00  -9.030000000000000249e-01  -8.610999999999999766e-01
4.000000000000000222e-01  9.199999999999999289e+00  6.051999999999999602e-01  1.338100000000000067e+00  -9.051000000000000156e-01  -8.610999999999999766e-01
4.099999999999999756e-01  9.179999999999999716e+00  6.185000000000000497e-01  1.328999999999999959e+00  -9.071000000000000174e-01  -8.610999999999999766e-01
4.199999999999999845e-01  9.160000000000000142e+00  6.318000000000000282e-01  1.319900000000000073e+00  -9.090000000000000302e-01  -8.610999999999999766e-01
4.299999999999999933e-01  9.140000000000000568e+00  6.449000000000000288e-01  1.310799999999999965e+00  -9.108000000000000540e-01  -8.610999999999999766e-01
4.400000000000000022e-01  9.119999999999999218e+00  6.580000000000000293e-01  1.301700000000000079e+00  -9.124999999999999778e-01  -8.610999999999999766e-01
4.500000000000000111e-01  9.099999999999999645e+00  6.710000000000000409e-01  1.292599999999999971e+00  -9.141000000000000236e-01  -8.610999999999999766e-01
4.600000000000000200e-01  9.080000000000000071e+00  6.837999999999999634e-01  1.283400000000000096e+00  -9.155999999999999694e-01  -8.610999999999999766e-01
4.699999999999999734e-01  9.060000000000000497e+00  6.965999999999999970e-01  1.274299999999999988e+00  -9.171000000000000263e-01  -8.610999999999999766e-01
4.799999999999999822e-01  9.039999999999999147e+00  7.093000000000000416e-01  1.265099999999999891e+00  -9.183999999999999941e-01  -8.610999999999999766e-01
4.899999999999999911e-01  9.019999999999999574e+00  7.218999999999999861e-01  1.255900000000000016e+00  -9.195999999999999730e-01  -8.610999999999999766e-01
5.000000000000000000e-01  9.000000000000000000e+00  7.344000000000000528e-01  1.246699999999999919e+00  -9.207999999999999519e-01  -8.610999999999999766e-01
5.100000000000000089e-01  8.980000000000000426e+00  7.469000000000000083e-01  1.237500000000000044e+00  -9.217999999999999527e-01  -8.610999999999999766e-01
5.200000000000000178e-01  8.960000000000000853e+00  7.591999999999999860e-01  1.228299999999999947e+00  -9.226999999999999647e-01  -8.610999999999999766e-01
5.300000000000000266e-01  8.939999999999999503e+00  7.713999999999999746e-01  1.219000000000000083e+00  -9.235999999999999766e-01  -8.610999999999999766e-01
5.400000000000000355e-01  8.919999999999999929e+00  7.835999999999999632e-01  1.209799999999999986e+00  -9.243000000000000105e-01  -8.610999999999999766e-01
5.500000000000000444e-01  8.900000000000000355e+00  7.955999999999999739e-01  1.200599999999999890e+00  -9.250000000000000444e-01  -8.610999999999999766e-01
5.600000000000000533e-01  8.880000000000000782e+00  8.075999999999999845e-01  1.191300000000000026e+00  -9.255999999999999783e-01  -8.610999999999999766e-01
5.699999999999999512e-01  8.859999999999999432e+00  8.194000000000000172e-01  1.181999999999999940e+00  -9.260000000000000453e-01  -8.610999999999999766e-01
5.799999999999999600e-01  8.839999999999999858e+00  8.312000000000000499e-01  1.172800000000000065e+00  -9.264000000000000012e-01  -8.610999999999999766e-01
5.899999999999999689e-01  8.820000000000000284e+00  8.428999999999999826e-01  1.163499999999999979e+00  -9.266999999999999682e-01  -8.610999999999999766e-01
5.999999999999999778e-01  8.800000000000000711e+00  8.545000000000000373e-01  1.154300000000000104e+00  -9.268999999999999462e-01  -8.610999999999999766e-01
6.099999999999999867e-01  8.779999999999999361e+00  8.659999999999999920e-01  1.145000000000000018e+00  -9.270000000000000462e-01  -8.610999999999999766e-01
6.199999999999999956e-01  8.759999999999999787e+00  8.773999999999999577e-01  1.135699999999999932e+00  -9.270000000000000462e-01  -8.610999999999999766e-01
6.300000000000000044e-01  8.740000000000000213e+00  8.887000000000000455e-01  1.126400000000000068e+00  -9.268999999999999462e-01  -8.610999999999999766e-01
6.400000000000000133e-01  8.720000000000000639e+00  8.999000000000000332e-01  1.117199999999999971e+00  -9.266999999999999682e-01  -8.610999999999999766e-01
6.500000000000000222e-01  8.699999999999999289e+00  9.110000000000000320e-01  1.107900000000000107e+00  -9.264000000000000012e-01  -8.610999999999999766e-01
6.600000000000000311e-01  8.679999999999999716e+00  9.221000000000000307e-01  1.098600000000000021e+00  -9.260000000000000453e-01  -8.610999999999999766e-01
6.700000000000000400e-01  8.660000000000000142e+00  9.330000000000000515e-01  1.089399999999999924e+00  -9.255999999999999783e-01  -8.610999999999999766e-01
6.800000000000000488e-01  8.640000000000000568e+00  9.438999999999999613e-01  1.080100000000000060e+00  -9.250000000000000444e-01  -8.610999999999999766e-01
6.899999999999999467e-01  8.619999999999999218e+00  9.546000000000000041e-01  1.070899999999999963e+00  -9.243999999999999995e-01  -8.610999999999999766e-01
6.999999999999999556e-01  8.599999999999999645e+00  9.653000000000000469e-01  1.061600000000000099e+00  -9.236999999999999655e-01  -8.610999999999999766e-01
7.099999999999999645e-01  8.580000000000000071e+00  9.758999999999999897e-01  1.052400000000000002e+00  -9.229000000000000536e-01  -8.610999999999999766e-01
7.199999999999999734e-01  8.560000000000000497e+00  9.862999999999999545e-01  1.043199999999999905e+00  -9.220000000000000417e-01  -8.610999999999999766e-01
7.299999999999999822e-01  8.539999999999999147e+00  9.967000000000000304e-01  1.034000000000000030e+00  -9.210000000000000409e-01  -8.610999999999999766e-01
7.399999999999999911e-01  8.519999999999999574e+00  1.006999999999999895e+00  1.024799999999999933e+00  -9.199000000000000510e-01  -8.610999999999999766e-01
7.500000000000000000e-01  8.500000000000000000e+00  1.017200000000000104e+00  1.015600000000000058e+00  -9.186999999999999611e-01  -8.610999999999999766e-01
7.600000000000000089e-01  8.480000000000000426e+00  1.027300000000000102e+00  1.006399999999999961e+00  -9.174999999999999822e-01  -8.610999999999999766e-01
7.700000000000000178e-01  8.460000000000000853e+00  1.037300000000000111e+00  9.971999999999999753e-01  -9.161000000000000254e-01  -8.610999999999999766e-01
7.800000000000000266e-01  8.439999999999999503e+00  1.047299999999999898e+00  9.880999999999999783e-01  -9.146999999999999575e-01  -8.610999999999999766e-01
7.900000000000000355e-01  8.419999999999999929e+00  1.057099999999999929e+00  9.788999999999999924e-01  -9.132000000000000117e-01  -8.610999999999999766e-01
8.000000000000000444e-01  8.400000000000000355e+00  1.066799999999999971e+00  9.697999999999999954e-01  -9.115999999999999659e-01  -8.610999999999999766e-01
8.100000000000000533e-01  8.380000000000000782e+00  1.076500000000000012e+00  9.606999999999999984e-01  -9.099000000000000421e-01  -8.610999999999999766e-01
8.199999999999999512e-01  8.359999999999999432e+00  1.086100000000000065e+00  9.516000000000000014e-01  -9.082000000000000073e-01  -8.610999999999999766e-01
8.299999999999999600e-01  8.339999999999999858e+00  1.095499999999999918e+00  9.425000000000000044e-01  -9.063999999999999835e-01  -8.610999999999999766e-01
8.399999999999999689e-01  8.320000000000000284e+00  1.104899999999999993e+00  9.334999999999999964e-01  -9.043999999999999817e-01  -8.610999999999999766e-01
8.499999999999999778e-01  8.300000000000000711e+00  1.114200000000000079e+00  9.244999999999999885e-01  -9.024999999999999689e-01  -8.610999999999999766e-01
8.599999999999999867e-01  8.279999999999999361e+00  1.123399999999999954e+00  9.153999999999999915e-01  -9.003999999999999782e-01  -8.610999999999999766e-01
8.699999999999999956e-01  8.259999999999999787e+00  1.132500000000000062e+00  9.063999999999999835e-01  -8.981999999999999984e-01  -8.610999999999999766e-01
8.800000000000000044e-01  8.240000000000000213e+00  1.141499999999999959e+00  8.974999999999999645e-01  -8.960000000000000187e-01  -8.610999999999999766e-01
