w  L  F   dF   ddF gamma2
3.300000000000000155e-01  9.339999999999999858e+00  1.154500000000000082e+00  3.146199999999999886e+00  -2.184400000000000119e+00  -4.000000000000000000e+00
3.400000000000000244e-01  9.320000000000000284e+00  1.185799999999999965e+00  3.124299999999999855e+00  -2.187699999999999978e+00  -4.000000000000000000e+00
3.499999999999999778e-01  9.300000000000000711e+00  1.217000000000000082e+00  3.102399999999999824e+00  -2.190900000000000070e+00  -4.000000000000000000e+00
3.599999999999999867e-01  9.279999999999999361e+00  1.247900000000000009e+00  3.080499999999999794e+00  -2.193999999999999950e+00  -4.000000000000000000e+00
3.699999999999999956e-01  9.259999999999999787e+00  1.278599999999999959e+00  3.058499999999999996e+00  -2.197000000000000064e+00  -4.000000000000000000e+00
3.800000000000000044e-01  9.240000000000000213e+00  1.309099999999999930e+00  3.036599999999999966e+00  -2.199699999999999989e+00  -4.000000000000000000e+00
3.900000000000000133e-01  9.220000000000000639e+00  1.339299999999999935e+00  3.014600000000000168e+00  -2.202399999999999913e+00  -4.000000000000000000e+00
4.000000000000000222e-01  9.199999999999999289e+00  1.369299999999999962e+00  2.992500000000000160e+00  -2.204899999999999860e+00  -4.000000000000000000e+00
4.099999999999999756e-01  9.179999999999999716e+00  1.399199999999999999e+00  2.970499999999999918e+00  -2.207300000000000040e+00  -4.000000000000000000e+00
4.199999999999999845e-01  9.160000000000000142e+00  1.428800000000000070e+00  2.948399999999999910e+00  -2.209600000000000009e+00  -4.000000000000000000e+00
4.299999999999999933e-01  9.140000000000000568e+00  1.458099999999999952e+00  2.926299999999999901e+00  -2.211699999999999999e+00  -4.000000000000000000e+00
4.400000000000000022e-01  9.119999999999999218e+00  1.487300000000000066e+00  2.904100000000000126e+00  -2.213699999999999779e+00  -4.000000000000000000e+00
4.500000000000000111e-01  9.099999999999999645e+00  1.516199999999999992e+00  2.882000000000000117e+00  -2.215500000000000025e+00  -4.000000000000000000e+00
4.600000000000000200e-01  9.080000000000000071e+00  1.544899999999999940e+00  2.859799999999999898e+00  -2.217200000000000060e+00  -4.000000000000000000e+00
4.699999999999999734e-01  9.060000000000000497e+00  1.573399999999999910e+00  2.837600000000000122e+00  -2.218799999999999883e+00  -4.000000000000000000e+00
4.799999999999999822e-01  9.039999999999999147e+00  1.601699999999999902e+00  2.815500000000000114e+00  -2.220200000000000173e+00  -4.000000000000000000e+00
