w  L  F   dF   ddF gamma2
1.689999999999999947e+00  6.620000000000000107e+00  3.454000000000000181e+00  3.834000000000000186e-01  -1.568400000000000016e+00  -4.000000000000000000e+00
1.699999999999999956e+00  6.599999999999999645e+00  3.457699999999999996e+00  3.678000000000000158e-01  -1.558499999999999996e+00  -4.000000000000000000e+00
1.709999999999999964e+00  6.580000000000000071e+00  3.461300000000000043e+00  3.522000000000000131e-01  -1.548699999999999966e+00  -4.000000000000000000e+00
1.719999999999999973e+00  6.559999999999999609e+00  3.464799999999999880e+00  3.367999999999999883e-01  -1.538799999999999946e+00  -4.000000000000000000e+00
1.729999999999999982e+00  6.540000000000000036e+00  3.467999999999999972e+00  3.215000000000000080e-01  -1.528799999999999937e+00  -4.000000000000000000e+00
1.739999999999999991e+00  6.519999999999999574e+00  3.471200000000000063e+00  3.062000000000000277e-01  -1.518899999999999917e+00  -4.000000000000000000e+00
1.750000000000000000e+00  6.500000000000000000e+00  3.474200000000000177e+00  2.911000000000000254e-01  -1.508899999999999908e+00  -4.000000000000000000e+00
1.760000000000000009e+00  6.480000000000000426e+00  3.476999999999999869e+00  2.760000000000000231e-01  -1.498899999999999899e+00  -4.000000000000000000e+00
1.770000000000000018e+00  6.459999999999999964e+00  3.479699999999999793e+00  2.610999999999999988e-01  -1.488899999999999890e+00  -4.000000000000000000e+00
1.780000000000000027e+00  6.440000000000000391e+00  3.482200000000000184e+00  2.462999999999999912e-01  -1.478900000000000103e+00  -4.000000000000000000e+00
1.790000000000000036e+00  6.419999999999999929e+00  3.484599999999999920e+00  2.315000000000000113e-01  -1.468800000000000106e+00  -4.000000000000000000e+00
1.800000000000000044e+00  6.400000000000000355e+00  3.486899999999999888e+00  2.169000000000000095e-01  -1.458800000000000097e+00  -4.000000000000000000e+00
1.810000000000000053e+00  6.379999999999999893e+00  3.488999999999999879e+00  2.023000000000000076e-01  -1.448700000000000099e+00  -4.000000000000000000e+00
1.820000000000000062e+00  6.360000000000000320e+00  3.490899999999999892e+00  1.879000000000000115e-01  -1.438600000000000101e+00  -4.000000000000000000e+00
1.830000000000000071e+00  6.339999999999999858e+00  3.492700000000000138e+00  1.736000000000000043e-01  -1.428500000000000103e+00  -4.000000000000000000e+00
1.840000000000000080e+00  6.320000000000000284e+00  3.494400000000000173e+00  1.592999999999999972e-01  -1.418400000000000105e+00  -4.000000000000000000e+00
1.850000000000000089e+00  6.299999999999999822e+00  3.495899999999999785e+00  1.451999999999999957e-01  -1.408300000000000107e+00  -4.000000000000000000e+00
1.860000000000000098e+00  6.280000000000000249e+00  3.497300000000000075e+00  1.312000000000000111e-01  -1.398099999999999898e+00  -4.000000000000000000e+00
